gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,2010-06-01,2010,57265.0
F,OHR,Office of Human Resources,Classification and Compensation Team,Parttime-Regular,Human Resources Specialist III,2006-05-04,2006,76998.0
M,REC,Department of Recreation,Germantown Indoor Pool,Fulltime-Regular,Recreation Specialist,1997-10-12,1997,70045.08
M,DPS,Department of Permitting Services,Fire Protection,Fulltime-Regular,Senior Permitting Services Specialist,2014-02-24,2014,81066.8
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst III,2013-10-07,2013,99394.13
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Community Services Aide III,2006-05-01,2006,73801.0
F,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Library Assistant I,1999-03-15,1999,58448.0
F,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Office Services Coordinator,2014-02-10,2014,49887.27
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,1994-12-19,1994,66065.23
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2015-04-20,2015,48145.0
F,HHS,Department of Health and Human Services,Aging and Disability Resource Unit,Fulltime-Regular,Client Assistance Specialist,1981-03-17,1981,83497.98
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007-01-08,2007,40631.32
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2010-06-01,2010,54538.0
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,1990-05-21,1990,96197.88
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,1990-09-10,1990,77343.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,1995-01-17,1995,63067.93
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,2002-12-02,2002,96624.0
F,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,1997-09-29,1997,89620.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),1999-11-29,1999,77328.0
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Master Firefighter/Rescuer,1997-11-17,1997,90896.0
F,HHS,Department of Health and Human Services,Area Agency on Aging Administration,Fulltime-Regular,Program Manager I,2015-11-16,2015,77512.81
F,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,1989-12-26,1989,69222.18
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),1998-01-20,1998,91532.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2016-12-27,2016,39257.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008-08-11,2008,42053.42
M,POL,Department of Police,PSB 3rd District Station,Fulltime-Regular,Police District Station Assistant,1997-09-15,1997,77343.0
F,DPS,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,1983-08-17,1983,79663.29
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2004-12-13,2004,88168.0
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,2004-12-13,2004,72861.0
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Specialist,1989-02-21,1989,83497.98
F,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2003-07-21,2003,80829.0
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2005-10-17,2005,85185.0
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016-07-11,2016,53788.0
F,LIB,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Associate,2013-12-02,2013,37213.83
M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,2013-09-30,2013,34710.46
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,2001-09-04,2001,92933.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1990-08-13,1990,66065.23
M,COR,Correction and Rehabilitation,DS Gang Intelligence,Fulltime-Regular,Correctional Officer III (Corporal),2001-06-11,2001,70301.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2011-01-18,2011,64640.07
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Services Assistant,2000-11-13,2000,67206.0
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Senior Financial Specialist,2015-10-19,2015,83214.0
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Parttime-Regular,Therapist II,2010-07-06,2010,34799.32
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,2016-12-27,2016,47233.0
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2015-12-14,2015,56689.54
M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer Technician II,2003-06-29,2003,64623.11
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,1994-02-28,1994,57476.06
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016-06-27,2016,39257.31
F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Administrative Specialist II,1990-10-01,1990,84974.0
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Librarian II,2013-11-18,2013,72404.0
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Administrative Specialist I,2006-05-01,2006,73801.0
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Librarian I,1978-02-09,1978,87523.22
M,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Development Ombudsman,2015-06-22,2015,154500.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,1985-03-25,1985,69222.18
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,2006-11-27,2006,63122.83
M,DLC,Department of Liquor Control,Administrative Services,Fulltime-Regular,Manager III,2013-08-26,2013,106436.2
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,2013-07-29,2013,52693.0
M,REC,Department of Recreation,Aquatic Team Management,Fulltime-Regular,Senior Pool Manager,2011-04-24,2011,44753.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Manager III,2001-02-05,2001,124286.7
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014-01-27,2014,42053.83
M,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,2014-04-14,2014,32505.38
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Services Coordinator,2007-04-02,2007,96357.93
F,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,2012-01-17,2012,37025.79
M,FRS,Fire and Rescue Services,Property and Supply,Fulltime-Regular,Supply Technician II,2012-08-27,2012,51954.44
M,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Parttime-Regular,Office Clerk,2010-04-27,2010,17269.0
M,POL,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Master Police Officer,2005-07-18,2005,79227.0
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,2013-12-30,2013,41781.91
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2015-04-06,2015,58360.18
F,POL,Department of Police,MSB Employee Health and Wellness Division,Fulltime-Regular,Administrative Specialist III,2013-11-04,2013,93396.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2011-07-25,2011,42053.82
M,DOT,Department of Transportation,Transit Commuter Services Trips,Fulltime-Regular,Principal Administrative Aide,1992-09-28,1992,64054.08
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,2007-09-04,2007,80402.0
F,FRS,Fire and Rescue Services,HR Labor Relations,Fulltime-Regular,Administrative Specialist III,2016-05-31,2016,74370.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2003-02-03,2003,56689.66
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,1998-03-02,1998,73801.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,2006-01-30,2006,74815.0
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,2001-04-23,2001,76936.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2002-01-14,2002,83658.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2015-06-01,2015,61725.0
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2010-07-06,2010,57234.14
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2004-12-13,2004,69390.0
F,HCA,Department of Housing and Community Affairs,Community Development Neighborhood Revitalization,Fulltime-Regular,Office Services Coordinator,2001-02-12,2001,67206.0
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,2012-06-04,2012,54538.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1995-01-30,1995,26208.35
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,2008-02-04,2008,58440.2
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2013-11-18,2013,56733.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2004-11-29,2004,51366.29
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,2004-11-01,2004,40038.2
F,FRS,Fire and Rescue Services,Budgets and Grants,Fulltime-Regular,Office Services Coordinator,2000-01-31,2000,90928.2
F,POL,Department of Police,MSB Information Mgmt and Tech Division Telephone Reporting Section,Fulltime-Regular,Public Safety Telephone Reporting Aide II,1990-12-31,1990,76015.03
M,HCA,Department of Housing and Community Affairs,Director,Fulltime-Regular,Director Department of Housing and Community Affairs,2015-01-05,2015,206000.0
M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2002-02-11,2002,94449.0
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Fire/Rescue Captain,1989-07-24,1989,117174.02
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2011-03-07,2011,43525.72
M,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Therapist II,1993-11-22,1993,100849.36
M,POL,Department of Police,ISB Criminal Investigations Division 5th District Investigative Section,Fulltime-Regular,Police Officer III,1988-09-12,1988,92756.7
M,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Program Specialist II,2005-09-19,2005,84974.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2013-09-23,2013,43525.72
F,DLC,Department of Liquor Control,Cabin John,Parttime-Regular,Liquor Store Clerk I,2012-12-17,2012,29779.06
F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Services Aide III,2001-10-22,2001,70083.45
F,HHS,Department of Health and Human Services,Support Planning,Fulltime-Regular,Program Specialist II,2011-09-12,2011,64206.3
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2007-05-14,2007,70435.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2011-07-18,2011,65752.0
F,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,2002-03-04,2002,91196.59
M,DGS,Department of General Services,Administration and Budget,Fulltime-Regular,Management and Budget Specialist III,2015-09-21,2015,85153.93
F,POL,Department of Police,ISB Family Crimes Division,Fulltime-Regular,Police Aide,1985-06-10,1985,66065.23
F,COR,Correction and Rehabilitation,PTS Intervention Program for Substance Abusers,Fulltime-Regular,Correctional Specialist II,2008-06-23,2008,62520.44
M,DOT,Department of Transportation,Traffic Engineering and Operations Development Review,Fulltime-Regular,Engineer III,2014-04-21,2014,97506.93
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Locksmith,2002-03-25,2002,73801.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Principal Administrative Aide,2006-11-13,2006,46925.78
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
M,DEP,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Water Quality Specialist II,1999-12-06,1999,84192.03
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Firearms Instructor,1994-04-25,1994,83497.98
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2006-01-09,2006,41953.24
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff Lieutenant,1990-06-25,1990,106448.44
F,SHF,Sheriff's Office,Attachments,Fulltime-Regular,Deputy Sheriff Sergeant,1995-09-05,1995,96763.35
F,FRS,Fire and Rescue Services,Information Technology,Fulltime-Regular,Information Technology Specialist III,2006-03-20,2006,97622.43
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,2008-03-03,2008,67139.06
F,HHS,Department of Health and Human Services,Chief Special Needs Housing,Fulltime-Regular,Program Manager II,2006-06-26,2006,84984.38
M,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Manager II,2013-07-01,2013,144675.32
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2016-04-18,2016,56581.5
F,HHS,Department of Health and Human Services,Jail Addiction Services,Fulltime-Regular,Therapist II,1998-07-26,1998,92601.29
M,DLC,Department of Liquor Control,Burtonsville,Parttime-Regular,Liquor Store Clerk I,2016-04-18,2016,27805.44
F,HHS,Department of Health and Human Services,Rental Assistance,Fulltime-Regular,Program Manager II,1977-02-15,1977,104717.28
M,DOT,Department of Transportation,Parking Management Administration,Fulltime-Regular,Senior Planning Specialist,2002-07-15,2002,98268.27
F,DHS,Office of Emergency Management and Homeland Security,Policy and Planning,Fulltime-Regular,Manager III,2013-08-26,2013,105007.29
F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Administrative Specialist II,1997-08-25,1997,84974.0
M,DEP,Department of Environmental Protection,Water and Waste Water Management,Fulltime-Regular,Senior Planning Specialist,1987-06-22,1987,105743.92
F,LIB,Department of Public Libraries,Germantown Library,Fulltime-Regular,Library Assistant I,1994-08-11,1994,58448.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000-10-09,2000,24076.15
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Engineer,2001-04-30,2001,112899.0
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2013-01-14,2013,56731.79
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2016-01-04,2016,40631.32
M,HHS,Department of Health and Human Services,Jail Addiction Services,Fulltime-Regular,Therapist II,1991-02-19,1991,100849.36
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2014-12-02,2014,75738.58
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Manager III,1983-06-20,1983,135392.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Arborist,2016-03-21,2016,74891.6
M,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,2013-08-25,2013,29779.06
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,2008-12-08,2008,78524.83
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1982-07-06,1982,57807.08
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2007-01-16,2007,70435.0
F,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2013-11-04,2013,54580.28
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2005-03-21,2005,80784.0
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Manager I,1988-03-07,1988,95263.92
M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,2000-02-14,2000,80784.0
F,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Administrative Specialist I,2009-02-09,2009,65722.06
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Office Services Coordinator,2001-04-30,2001,67206.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014-05-27,2014,42053.83
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,1990-02-26,1990,83611.44
M,FRS,Fire and Rescue Services,Self Contained Breathing Apparatus (SCBA) Shop,Fulltime-Regular,SCBA Technician,2016-07-11,2016,52000.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2011-08-01,2011,58720.0
M,DLC,Department of Liquor Control,Kingsview,Fulltime-Regular,Liquor Store Manager,2003-09-12,2003,69500.93
F,CCL,County Council,Council Members and Staff,Parttime-Regular,Legislative Senior Aide III,2009-04-27,2009,53976.6
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,2001-06-25,2001,18247.04
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,2013-07-29,2013,52693.0
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2008-07-07,2008,88908.19
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,1996-08-19,1996,92756.7
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Visual Information Specialist,2010-09-13,2010,78238.91
M,HHS,Department of Health and Human Services,24 Hours Crisis Center,Parttime-Regular,Therapist II,1994-03-20,1994,50424.68
M,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Manager II,2012-02-13,2012,90871.7
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2007-08-06,2007,57186.0
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,2013-12-16,2013,54403.08
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2002-01-14,2002,83658.0
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2003-02-03,2003,80829.0
M,FIN,Department of Finance,Safety,Fulltime-Regular,Occupational Safety and Health Specialist,1993-10-18,1993,105743.92
F,HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist III,2002-11-12,2002,102664.0
F,COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 1,Fulltime-Regular,Correctional Specialist II,1993-01-04,1993,91751.37
M,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,2013-02-25,2013,40935.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),1989-10-22,1989,103708.64
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,1989-07-24,1989,72534.66
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2010-06-01,2010,52947.0
F,HHS,Department of Health and Human Services,Educational Support,Fulltime-Regular,Administrative Specialist III,2012-12-17,2012,62517.38
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Captain,1997-11-17,1997,112266.0
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,2005-05-16,2005,72433.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2002-01-14,2002,83658.0
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2012-07-16,2012,60501.0
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Fire/Rescue Captain,1988-11-28,1988,118080.06
M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,2011-11-07,2011,76182.23
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2006-01-30,2006,68015.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2012-10-22,2012,43244.28
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2002-11-18,2002,51364.31
M,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Police Lieutenant,1993-07-26,1993,136293.25
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2014-02-24,2014,56478.0
M,HCA,Department of Housing and Community Affairs,Community Development Neighborhood Revitalization,Fulltime-Regular,Senior Planning Specialist,1989-03-06,1989,105743.92
F,DLC,Department of Liquor Control,Walnut Hill,Fulltime-Regular,Liquor Store Manager,1996-11-07,1996,79480.52
M,SHF,Sheriff's Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff Sergeant,1994-06-13,1994,96763.35
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Fire/Rescue Captain,1990-02-26,1990,114087.02
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2004-08-09,2004,89952.8
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,2004-10-11,2004,95629.79
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),1988-12-19,1988,94277.96
F,COR,Correction and Rehabilitation,DS Programs and Services,Fulltime-Regular,Manager III,1988-08-29,1988,135392.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2005-07-18,2005,89620.0
M,POL,Department of Police,FSB Media Services Division,Fulltime-Regular,Police Captain,1985-02-25,1985,141539.36
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2014-11-03,2014,40368.82
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Master Firefighter/Rescuer,2004-06-07,2004,80145.0
M,FRS,Fire and Rescue Services,Support Services Division,Fulltime-Regular,Fire/Rescue Division Chief,1987-05-24,1987,169543.85
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Master Firefighter/Rescuer,1993-09-20,1993,91969.07
M,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist IV,2004-09-20,2004,97757.63
F,OAG,Office of Agriculture,Agricultural Services,Parttime-Regular,Principal Administrative Aide,1990-01-29,1990,30100.72
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Master Firefighter/Rescuer,1993-09-20,1993,91969.07
F,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Office Services Coordinator,2000-10-22,2000,67206.0
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,2004-12-13,2004,80145.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2007-08-06,2007,39163.74
F,POL,Department of Police,ISB Criminal Investigations Division Central Auto Theft Section,Fulltime-Regular,Program Specialist I,1990-06-25,1990,76015.03
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,1994-06-13,1994,92756.7
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,1994-11-13,1994,95622.26
M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,2013-07-29,2013,56310.18
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,1991-03-04,1991,92756.7
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,2015-11-02,2015,37903.5
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1993-12-06,1993,66065.23
F,POL,Department of Police,MSB Information Mgmt and Tech Division Telephone Reporting Section,Fulltime-Regular,Office Services Coordinator,1990-10-15,1990,69222.18
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2011-06-06,2011,68115.53
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician III,2014-08-11,2014,36707.05
F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Program Manager II,2013-03-25,2013,96929.82
F,DPS,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Permit Technician III,1991-09-16,1991,72534.66
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,2014-05-19,2014,63278.75
F,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Program Specialist II,1997-07-14,1997,76562.44
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor III,1998-08-17,1998,84189.59
F,DEP,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Manager III,2003-07-27,2003,113641.47
F,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Refuse Disposal Cashier,2006-11-27,2006,56471.45
M,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Master Firefighter/Rescuer,1997-11-17,1997,88859.0
M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Master Firefighter/Rescuer,1993-09-20,1993,91969.07
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2003-06-02,2003,73801.0
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2014-10-06,2014,53788.0
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer III,2004-12-13,2004,72861.0
M,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,1972-01-11,1972,100849.36
M,HHS,Department of Health and Human Services,Substance Abuse Prevention,Fulltime-Regular,Program Manager I,2012-03-26,2012,62517.39
M,COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,Fulltime-Regular,Manager III,1996-02-12,1996,128724.64
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,2011-10-10,2011,57576.82
M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician III,2010-11-08,2010,71730.5
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2005-01-18,2005,75453.0
